GENE	r2	GENEID	POP	HSQ	HSQSE	HSQP	VG	VGSE
ACP6	0.10710427974829344	ENSG00000162836.6	EUR	0.274695	0.059773	2.762e-8	0.306603	0.085748
ACSF3	0.011329774663494383	ENSG00000176715.11	EUR	0.031383	0.021166	0.05032	0.031791	0.021679
ACSS1	0.08968612947185209	ENSG00000154930.9	EUR	0.084368	0.034659	8.045e-4	0.080887	0.035134
ACSS2	5.340919680141594e-4	ENSG00000131069.13	EUR	-0.005407	0.003229	0.2862	-0.005507	0.003316
ACTA2	0.18915798726854985	ENSG00000107796.7	EUR	0.346983	0.057059	4.82e-10	0.380073	0.084872
ACTB	7.791861634119395e-4	ENSG00000075624.8	EUR	0.02418	0.025879	0.2232	0.023774	0.025581
ACTG1	0.03708841655832816	ENSG00000184009.3	EUR	0.08841	0.041969	0.01603	0.089168	0.044262
ACTR10	0.008348483407226825	ENSG00000131966.6	EUR	0.00261	0.015083	0.4489	0.002652	0.015331
ACTR1A	0.056005489674075384	ENSG00000138107.6	EUR	0.068066	0.029524	2.512e-4	0.068074	0.030948
ACTR1B	5.708891978831768e-4	ENSG00000115073.5	EUR	0.026382	0.022117	0.06139	0.026263	0.022342
ACTR2	0.02878864128643255	ENSG00000138071.8	EUR	0.033833	0.025533	0.122	0.032627	0.024853
ACTR3	0.01788029247830762	ENSG00000115091.5	EUR	0.030564	0.027479	0.1587	0.029618	0.026956
ACTR3C	0.02523927208536233	ENSG00000106526.6	EUR	0.095961	0.042195	0.01065	0.098831	0.045907
ACTR5	0.0403265711096988	ENSG00000101442.8	EUR	0.026051	0.018222	0.07917	0.025818	0.018232
ACTR8	0.1299832195995977	ENSG00000113812.9	EUR	0.148246	0.035991	2.436e-8	0.141494	0.037829
ACY3	0.00952652084248318	ENSG00000132744.3	EUR	0.005017	0.011935	0.3639	0.004986	0.011871
ACYP2	0.016441975790176037	ENSG00000170634.7	EUR	0.073367	0.033975	0.009407	0.074163	0.035832
ADAL	0.037460902442578534	ENSG00000168803.10	EUR	0.035839	0.025483	0.01056	0.036582	0.026677
ADAM15	0.07132877464962635	ENSG00000143537.8	EUR	0.075356	0.031103	4.233e-4	0.074148	0.031854
ADAM17	0.008710331484407136	ENSG00000151694.7	EUR	0.03242	0.026207	0.13	0.033199	0.027104
ADAM19	0.17871294121475217	ENSG00000135074.11	EUR	0.201033	0.04496	6.741e-9	0.193309	0.050565
ADAM22	3.781021074292368e-4	ENSG00000008277.10	EUR	-0.007424	0.007568	0.2824	-0.007557	0.007722
ADAM8	0.016823868394239425	ENSG00000151651.11	EUR	0.019796	0.019335	0.1788	0.020118	0.019755
ADAM9	3.57863407250791e-4	ENSG00000168615.7	EUR	0.001702	0.016091	0.4685	0.001697	0.016041
ADAMDEC1	0.0010083883711731049	ENSG00000134028.10	EUR	0.006342	0.011159	0.3236	0.006172	0.010871
ADAMTS16	0.01027140785931108	ENSG00000145536.10	EUR	0.07268	0.033271	0.02184	0.070252	0.032953
ADAMTS7	0.22707199516790955	ENSG00000136378.9	EUR	0.320557	0.051143	2.165e-15	0.31814	0.066907
ADAMTSL3	0.12232274278992174	ENSG00000156218.8	EUR	0.102723	0.030691	4.715e-8	0.096603	0.031011
ADAP1	0.06041165007406046	ENSG00000105963.7	EUR	0.109424	0.051003	0.002819	0.11235	0.056045
ADAP2	0.03480192206913799	ENSG00000184060.5	EUR	0.045202	0.022372	0.001321	0.04413	0.022587
ADAR	1.8471761083781413e-4	ENSG00000160710.11	EUR	0.016658	0.016368	0.1923	0.01687	0.016642
ADAT1	0.04589035221183861	ENSG00000065457.5	EUR	0.030822	0.020231	0.06891	0.030957	0.020579
ADAT2	0.002750828962152439	ENSG00000189007.9	EUR	0.035611	0.029523	0.1316	0.035591	0.029824
ADCK1	0.054151256687887124	ENSG00000063761.11	EUR	0.097343	0.034028	9.936e-4	0.097511	0.035958
ADCY1	0.029148442338238795	ENSG00000164742.9	EUR	0.039344	0.023883	0.0718	0.039078	0.024048
ADCY3	0.08031414262394866	ENSG00000138031.8	EUR	0.0816	0.030502	4.121e-5	0.077428	0.03056
ADD1	9.925367680419563e-5	ENSG00000087274.11	EUR	-0.007995	0.005858	0.2341	-0.00777	0.005718
ADH5	0.0033714877963512023	ENSG00000197894.6	EUR	-0.016554	3.38e-4	0.06655	-0.01668	9.69e-4
ADHFE1	0.006972504113141067	ENSG00000147576.11	EUR	-9.03e-4	0.011304	0.4767	-9.31e-4	0.011646
ADI1	0.06939251071229609	ENSG00000182551.7	EUR	0.105583	0.040341	0.002461	0.104411	0.042011
ADK	0.03193246823484497	ENSG00000156110.8	EUR	0.078318	0.027498	2.799e-5	0.074916	0.027898
ADPRH	6.247113580271835e-5	ENSG00000144843.7	EUR	-0.001709	0.015737	0.4694	-0.001668	0.01536
ADRB1	0.04890177811024327	ENSG00000043591.4	EUR	0.126385	0.048775	0.001372	0.121708	0.05026
ADRB2	0.05929047539141703	ENSG00000169252.4	EUR	0.08458	0.04286	0.01946	0.081262	0.042974
ADRM1	0.008875974454802931	ENSG00000130706.7	EUR	0.004325	0.019413	0.4346	0.004115	0.018475
ADSL	8.356427621253195e-8	ENSG00000239900.4	EUR	0.017413	0.013665	0.09742	0.01721	0.013609
ADSS	0.0049489373760344384	ENSG00000035687.8	EUR	0.084208	0.031673	0.005056	0.081398	0.031759
AEN	0.009756963486434553	ENSG00000181026.12	EUR	0.119385	0.033052	3.434e-5	0.119875	0.035522
AFF1	0.004323655331727781	ENSG00000172493.15	EUR	0.004182	0.00854	0.3491	0.004144	0.008469
AFF3	0.004810059032241253	ENSG00000144218.12	EUR	0.019385	0.016088	0.1413	0.01874	0.015656
AFF4	0.004714652446411215	ENSG00000072364.8	EUR	0.002237	0.01659	0.4599	0.002302	0.017072
AFTPH	0.13085088243880186	ENSG00000119844.10	EUR	0.124825	0.034168	7.531e-7	0.123105	0.036273
AGA	0.26225663724494425	ENSG00000038002.4	EUR	0.302964	0.051306	1.644e-11	0.303587	0.065702
AGBL2	7.841858082273457e-4	ENSG00000165923.10	EUR	4.13e-4	0.008109	0.4846	4.08e-4	0.007994
AGBL3	0.04928599481712393	ENSG00000146856.10	EUR	0.123761	0.030946	5.107e-8	0.119866	0.032638
AGER	4.215083130166267e-4	ENSG00000204305.8	EUR	-0.015835	6.6e-5	0.009008	-0.015255	8.19e-4
AGFG1	0.021935901334411964	ENSG00000173744.11	EUR	0.007362	0.015213	0.3544	0.00737	0.015242
AGGF1	0.016298150573271164	ENSG00000164252.8	EUR	-0.034387	0.002114	0.03561	-0.034426	0.002891
AGL	0.05737875880602556	ENSG00000162688.11	EUR	0.158	0.044454	6.331e-7	0.158634	0.050383
AGMAT	0.31393431345404565	ENSG00000116771.5	EUR	0.269364	0.044933	0	0.245652	0.051768
AGPAT6	0.00282717003180806	ENSG00000158669.7	EUR	0.026015	0.030504	0.2341	0.0264	0.031166
AGPAT9	0.04225676023772971	ENSG00000138678.6	EUR	0.005099	0.024909	0.4408	0.005049	0.024676
AGTPBP1	0.001733529400490025	ENSG00000135049.11	EUR	0.045976	0.022725	0.01086	0.045551	0.022967
AGTRAP	0.005495034045179295	ENSG00000177674.10	EUR	0.016443	0.023769	0.2805	0.016555	0.023999
AHCYL2	0.0036280309656721854	ENSG00000158467.12	EUR	0.011541	0.014281	0.251	0.011461	0.014215
AHI1	0.3224721543935915	ENSG00000135541.15	EUR	0.254973	0.044784	0	0.221966	0.048898
AHRR	0.004417197482586812	ENSG00000063438.12	EUR	0.006905	0.012571	0.3229	0.006923	0.01262
AHSA1	0.0033240385098154235	ENSG00000100591.3	EUR	0.002142	0.014176	0.4549	0.002157	0.014278
AHSA2	0.020481548612574996	ENSG00000173209.16	EUR	0.152318	0.056069	3.283e-5	0.163434	0.068142
AIF1	0.10276773408870742	ENSG00000204472.7	EUR	0.121522	0.035833	2.453e-5	0.11941	0.038248
AIFM2	0.018105077896511914	ENSG00000042286.9	EUR	0.042614	0.029073	0.1067	0.039408	0.027159
AIG1	0.004490609324249156	ENSG00000146416.10	EUR	0.060466	0.036323	0.06794	0.058141	0.035682
AIMP1	0.0021295406318022096	ENSG00000164022.11	EUR	0.040684	0.018591	0.002512	0.040516	0.018988
AIMP2	0.0057371003615322245	ENSG00000106305.5	EUR	-0.002713	0.015406	0.4507	-0.002694	0.015299
AK2	0.002354708271681285	ENSG00000004455.11	EUR	0.027253	0.023151	0.1403	0.027709	0.023805
AKAP1	6.0082280453429826e-5	ENSG00000121057.7	EUR	-0.016446	0.019889	0.2998	-0.016705	0.020259
AKAP10	0.006303469174126935	ENSG00000108599.8	EUR	0.056178	0.028561	0.005161	0.056881	0.030067
AKAP11	0.0016016530868932445	ENSG00000023516.7	EUR	-0.005108	0.011893	0.3894	-0.005249	0.012229
AKAP13	0.014818547881713967	ENSG00000170776.14	EUR	0.015234	0.018127	0.2411	0.015167	0.018101
AKAP3	0.19604633921139447	ENSG00000111254.2	EUR	0.201919	0.040469	1.221e-9	0.195642	0.044501
AKIRIN1	0.07567319133961253	ENSG00000174574.9	EUR	0.155867	0.045784	1.536e-4	0.155656	0.050926
AKIRIN2	0.0813281108825295	ENSG00000135334.7	EUR	-0.04529	7.5e-5	0.007636	-0.043879	0.002343
AKNA	0.004748925119629578	ENSG00000106948.11	EUR	0.040734	0.030706	0.1158	0.041331	0.031488
AKR1A1	0.0075425776640129635	ENSG00000117448.9	EUR	0.005023	0.010542	0.3321	0.005106	0.010735
AKR7A2	0.030280822912233354	ENSG00000053371.8	EUR	0.187502	0.048096	4.298e-7	0.194482	0.057197
AKR7A3	1.2054435723162501e-4	ENSG00000162482.4	EUR	0.026981	0.016872	0.06116	0.027008	0.017059
AKT1S1	0.03737325095334726	ENSG00000204673.5	EUR	0.099636	0.039962	0.005011	0.102298	0.043186
AKT3	0.0038078399032867426	ENSG00000117020.12	EUR	0.005382	0.016292	0.3988	0.005096	0.015436
AKTIP	0.0018992589757661682	ENSG00000166971.11	EUR	-0.025639	8.39e-4	0.1213	-0.025724	0.001661
ALAD	0.0444470330113936	ENSG00000148218.11	EUR	0.055676	0.029124	0.03109	0.054656	0.029181
ALCAM	0.006799150920886127	ENSG00000170017.8	EUR	0.01011	0.01967	0.3411	0.009871	0.019228
ALDH16A1	0.2660339584619035	ENSG00000161618.4	EUR	0.274202	0.043835	0	0.250811	0.050637
ALDH18A1	0.0022098187550861053	ENSG00000059573.4	EUR	0.004307	0.016521	0.4219	0.004247	0.016297
ALDH3A2	0.028173116157278695	ENSG00000072210.12	EUR	0.049998	0.031236	0.01356	0.048754	0.031381
ALDH5A1	0.10331484713768055	ENSG00000112294.8	EUR	0.112595	0.03258	1.157e-5	0.110747	0.034157
ALDH6A1	0.007957606273093868	ENSG00000119711.8	EUR	0.033056	0.019508	0.04017	0.033168	0.019884
ALDH7A1	0.24568371584948712	ENSG00000164904.9	EUR	0.345601	0.050943	3.886e-16	0.364721	0.074517
ALDH8A1	0.29335347245888543	ENSG00000118514.9	EUR	0.192715	0.037707	0	0.158388	0.036162
ALDOB	0.051045005428149576	ENSG00000136872.10	EUR	0.084818	0.03578	0.008671	0.086292	0.038049
ALG10	0.015430976771703932	ENSG00000139133.2	EUR	0.016301	0.021631	0.1795	0.016512	0.022106
ALG11	0.014194364128576525	ENSG00000253710.1	EUR	0.008248	0.009971	0.2092	0.00824	0.009988
ALG12	0.013225846454310072	ENSG00000182858.7	EUR	0.031889	0.021495	0.08257	0.030722	0.020931
ALG2	0.021769903114978985	ENSG00000119523.8	EUR	-0.013674	0.009475	0.21560000000000001	-0.013364	0.009322
ALG6	0.011996586114518027	ENSG00000088035.8	EUR	-0.046572	6.1e-5	0.01773	-0.047655	0.002544
ALG8	0.1276696369926835	ENSG00000159063.7	EUR	0.126354	0.038842	1.823e-7	0.12133	0.041679
ALKBH1	0.004492579666241838	ENSG00000100601.5	EUR	-0.030476	0.001673	0.016	-0.029602	0.002331
ALKBH8	0.005478078194454499	ENSG00000137760.10	EUR	-0.025212	4.7e-5	0.01591	-0.025741	0.001375
ALMS1	0.23056586183437155	ENSG00000116127.13	EUR	0.152101	0.039133	1.832e-15	0.140963	0.040846
ALOX5	0.09710788661121796	ENSG00000012779.5	EUR	0.161505	0.0454	1.032e-8	0.163571	0.052501
ALOX5AP	3.629406675108387e-5	ENSG00000132965.5	EUR	-0.007027	0.022059	0.4135	-0.006645	0.020869
ALPK1	0.027898751927178694	ENSG00000073331.12	EUR	0.031239	0.019386	0.03406	0.031425	0.019782
ALPK2	0.005431511419413057	ENSG00000198796.5	EUR	-0.011281	0.016915	0.334	-0.011182	0.016796
ALS2	0.006904772242760705	ENSG00000003393.10	EUR	0.006107	0.017447	0.3949	0.006236	0.017827
ALS2CR12	0.005960838115309182	ENSG00000155749.8	EUR	0.027138	0.017976	0.04726	0.027428	0.018389
AMACR	0.16596264907764596	ENSG00000242110.3	EUR	0.152244	0.037966	1.422e-9	0.146122	0.040527
AMDHD1	0.19166701323348156	ENSG00000139344.3	EUR	0.195082	0.038089	7.093e-11	0.186171	0.041683
AMFR	0.006464553524521435	ENSG00000159461.9	EUR	0.002324	0.022263	0.4694	0.002284	0.021887
AMIGO1	0.21191035486279305	ENSG00000181754.6	EUR	0.244396	0.043791	1.758e-12	0.23605	0.051192
AMPD3	0.025436471711093527	ENSG00000133805.10	EUR	0.040248	0.033799	0.172	0.039931	0.033975
AMT	0.039680363871928005	ENSG00000145020.10	EUR	0.035846	0.020812	0.001412	0.036353	0.021708
AMY2B	0.0033967471908622447	ENSG00000240038.2	EUR	-0.002034	0.009995	0.4449	-0.002064	0.010142
AMZ2	0.14751171694431753	ENSG00000196704.6	EUR	0.204986	0.043868	2.611e-8	0.20924	0.052344
AMZ2P1	0.1380657079218472	ENSG00000214174.4	EUR	0.173698	0.042856	9.99e-7	0.176225	0.049769
ANAPC13	0.2909515491041359	ENSG00000129055.8	EUR	0.213969	0.040206	0	0.182315	0.040891
ANGEL1	0.009653057637535675	ENSG00000013523.5	EUR	0.031294	0.023843	0.1316	0.031234	0.023958
ANGEL2	0.007567505233836352	ENSG00000174606.7	EUR	0.00286	0.013529	0.4371	0.002855	0.013509
ANGPTL6	0.15592592800456564	ENSG00000130812.5	EUR	0.257912	0.054723	9.165e-8	0.275319	0.071883
ANK1	0.039431753588067636	ENSG00000029534.14	EUR	0.071047	0.03278	0.01299	0.072971	0.034895
ANK3	0.07525247538437975	ENSG00000151150.13	EUR	0.081306	0.031013	0.001426	0.082272	0.032571
ANKDD1A	0.06511714085432262	ENSG00000166839.11	EUR	0.097939	0.039032	4.311e-4	0.101684	0.043401
ANKH	0.05862833983010547	ENSG00000154122.8	EUR	0.038689	0.031735	0.1492	0.036332	0.030205
ANKHD1-EIF4EBP3	0.013938603336663028	ENSG00000254996.1	EUR	0.001801	0.009105	0.4393	0.001794	0.009076
ANKLE1	0.07886362605920709	ENSG00000160117.8	EUR	0.147145	0.041454	2.645e-5	0.14133	0.043216
ANKRA2	2.00130818366217e-4	ENSG00000164331.5	EUR	0.005556	0.019427	0.4147	0.005597	0.019578
ANKRD10	0.0016129512973386238	ENSG00000088448.9	EUR	-7.96e-4	0.019596	0.488	-7.93e-4	0.019516
ANKRD12	0.0024317113894193523	ENSG00000101745.9	EUR	-0.01321	0.018788	0.3347	-0.013276	0.018924
ANKRD13A	0.0012244434825539464	ENSG00000076513.10	EUR	-0.007046	0.006928	0.2837	-0.006827	0.006732
ANKRD13D	4.266686776275192e-4	ENSG00000172932.10	EUR	-0.007516	0.004646	0.2207	-0.007051	0.004388
ANKRD16	0.0032785974742257726	ENSG00000134461.9	EUR	-0.001221	0.024996	0.4856	-0.001215	0.024876
ANKRD26	0.02127142431215661	ENSG00000107890.12	EUR	0.047176	0.028908	0.04762	0.046416	0.029018
ANKRD27	0.00688943162768719	ENSG00000105186.7	EUR	0.057387	0.028312	0.006918	0.055071	0.027934
ANKRD28	0.0011467872274552842	ENSG00000206560.6	EUR	0.032993	0.02232	0.08591	0.031892	0.021833
ANKRD40	0.0336644315122046	ENSG00000154945.6	EUR	0.053711	0.029967	0.04599	0.054219	0.030844
ANKRD44	0.013875680726688622	ENSG00000065413.12	EUR	0.147569	0.052215	3.766e-5	0.155074	0.061801
ANKRD50	0.0010255810438565718	ENSG00000151458.7	EUR	0.042514	0.037192	0.172	0.038356	0.034075
ANKS3	5.205180169348439e-7	ENSG00000168096.9	EUR	-0.007091	0.00916	0.3269	-0.007218	0.009342
ANLN	0.005977279840579827	ENSG00000011426.6	EUR	0.051138	0.028705	0.04542	0.051979	0.02969
ANP32E	0.008809429628894845	ENSG00000143401.10	EUR	0.017521	0.018628	0.16	0.017441	0.018683
ANXA1	0.04187024689123905	ENSG00000135046.9	EUR	0.070471	0.031132	0.01144	0.071866	0.033082
ANXA2	0.0033011701261420464	ENSG00000182718.11	EUR	0.015723	0.031294	0.3501	0.015186	0.030289
ANXA3	0.061153910094477286	ENSG00000138772.8	EUR	0.050906	0.029329	0.01443	0.052151	0.030861
ANXA5	0.21706610649562966	ENSG00000164111.9	EUR	0.283252	0.047749	4.61e-13	0.288884	0.061889
ANXA6	0.05708468011473287	ENSG00000197043.7	EUR	0.100298	0.039768	0.002966	0.100032	0.041723
AOAH	0.02603836742989597	ENSG00000136250.6	EUR	0.077228	0.040839	0.0505	0.080728	0.043955
AP1AR	0.0019849095600784216	ENSG00000138660.7	EUR	-0.0155	9e-6	0.01532	-0.016031	8.55e-4
AP1G1	6.873526142887726e-4	ENSG00000166747.7	EUR	-0.009252	0.003659	0.1574	-0.009393	0.003773
AP1G2	0.01577209055163602	ENSG00000213983.5	EUR	0.095518	0.035999	0.004565	0.094585	0.0372
AP1M1	0.03449885792962578	ENSG00000072958.3	EUR	0.037539	0.023872	0.06812	0.037714	0.024318
AP1S1	0.00251033678067672	ENSG00000106367.9	EUR	-1.99e-4	0.017731	0.4965	-1.91e-4	0.017043
AP1S3	8.176238483467905e-5	ENSG00000152056.12	EUR	-0.00803	0.010356	0.3139	-0.007284	0.009409
AP2A2	0.011490892099796292	ENSG00000183020.7	EUR	0.030471	0.025322	0.1355	0.030095	0.025256
AP3D1	0.020330422574861905	ENSG00000065000.9	EUR	0.080859	0.031098	0.005887	0.080053	0.031796
AP3M2	0.06600595223601603	ENSG00000070718.7	EUR	0.11785	0.039733	2.897e-4	0.121421	0.044337
AP3S2	0.05682322068871031	ENSG00000157823.11	EUR	0.037497	0.024716	0.08964	0.037111	0.024792
AP4E1	6.047733606412159e-4	ENSG00000081014.6	EUR	0.025303	0.015372	0.04408	0.02498	0.01536
AP4M1	0.07007847690929653	ENSG00000221838.5	EUR	0.079293	0.034116	7.795e-4	0.081487	0.037159
APAF1	4.381834184701095e-6	ENSG00000120868.9	EUR	0.038874	0.028414	0.1155	0.039313	0.029103
APBB1IP	0.05520066014999895	ENSG00000077420.9	EUR	0.098049	0.03625	0.002566	0.098606	0.038643
APBB2	0.034875212675103545	ENSG00000163697.11	EUR	0.031268	0.026747	0.1681	0.030843	0.026547
APBB3	0.0029453104609651532	ENSG00000113108.13	EUR	0.004374	0.009883	0.3562	0.004287	0.009696
APEH	0.0027091214430317316	ENSG00000164062.8	EUR	0.100089	0.056403	0.02312	0.102074	0.062673
APH1B	0.023263821455571848	ENSG00000138613.9	EUR	0.028201	0.028963	0.1783	0.02767	0.028648
APIP	0.0584454686332933	ENSG00000149089.7	EUR	0.122876	0.034481	5.612e-6	0.113258	0.034353
APLF	0.05943077706889325	ENSG00000169621.5	EUR	0.045923	0.025542	0.03898	0.045202	0.025571
APLP2	0.0030154570689276588	ENSG00000084234.11	EUR	0.023838	0.023607	0.2043	0.023511	0.023399
APOA1BP	0.006738334647304182	ENSG00000163382.6	EUR	0.017721	0.020224	0.2262	0.017274	0.019792
APOBEC3D	0.022600043740732694	ENSG00000243811.2	EUR	0.02469	0.016857	0.08845	0.023975	0.016524
APOBEC3F	0.011084362402523806	ENSG00000128394.12	EUR	0.033337	0.028097	0.1356	0.03298	0.028141
APOBEC3G	0.02271089453203645	ENSG00000239713.3	EUR	0.014914	0.015741	0.2151	0.014665	0.015539
APOBEC3H	0.047251127203553574	ENSG00000100298.11	EUR	0.04919	0.023792	0.01274	0.046326	0.022949
APOL2	0.0034325395589394504	ENSG00000128335.9	EUR	0.078366	0.032096	0.01007	0.078796	0.033398
APOL4	0.13937588171610638	ENSG00000100336.13	EUR	0.205585	0.043584	2.74e-8	0.20912	0.051172
APOLD1	0.13223947202477887	ENSG00000178878.7	EUR	0.249258	0.052261	2.515e-7	0.243126	0.060376
APPBP2	2.205684307409258e-4	ENSG00000062725.4	EUR	-0.010509	0.001356	0.03821	-0.010114	0.001442
APPL1	8.90516420980556e-8	ENSG00000157500.5	EUR	-0.002729	0.007998	0.4108	-0.002741	0.008035
APPL2	0.011483469890974117	ENSG00000136044.7	EUR	0.039716	0.023855	0.04763	0.039612	0.024158
APRT	0.022790956434906265	ENSG00000198931.6	EUR	0.028184	0.021624	0.1292	0.027274	0.021079
APTX	6.311985325755481e-4	ENSG00000137074.12	EUR	-0.016295	0.008308	0.1642	-0.01608	0.008292
AQR	0.0086653795994907825	ENSG00000021776.6	EUR	0.00105	0.016688	0.4811	0.001061	0.016864
ARF3	0.0010863817290929089	ENSG00000134287.4	EUR	0.038886	0.018641	0.009495	0.038329	0.018736
ARF6	0.011222157367866538	ENSG00000165527.5	EUR	0.005666	0.012588	0.3607	0.005599	0.01245
ARFGAP2	0.01327287499470531	ENSG00000149182.9	EUR	0.011417	0.01485	0.2086	0.011247	0.014698
